mp_rgb_img,left_hand_skel_data,right_hand_skel_data,nuitrack_rgb_image,nuitrack_skel_data
,1703220149.8454518,1703220149.993424,,1703220150.2774413
,1703220149.8648043,1703220150.0374217,,1703220150.3348494
,1703220149.9057877,1703220150.0374293,,1703220150.3814888
,1703220149.9494529,1703220150.0814478,,1703220150.381507
,1703220149.993426,1703220150.103653,,1703220150.4355166
,1703220150.0374267,1703220150.1454544,,1703220150.4725614
,1703220150.037431,1703220150.193441,,1703220150.517465
,1703220150.0814352,1703220150.23744,,1703220150.5614433
,1703220150.1038027,1703220150.2374506,,1703220150.605448
,1703220150.145447,1703220150.2814293,,1703220150.6534104
,1703220150.1934407,1703220150.3048468,,1703220150.701444
,1703220150.2374458,1703220150.3454504,,1703220150.7454436
,1703220150.2374496,1703220150.3894417,,1703220150.793418
,1703220150.281423,1703220150.433453,,1703220150.8374639
,1703220150.3048594,1703220150.47749,,1703220150.8374844
,1703220150.345455,1703220150.4775436,,1703220150.837489
,1703220150.3894331,1703220150.5254123,,1703220150.9063785
,1703220150.4334452,1703220150.5377228,,1703220150.9109757
,1703220150.47749,1703220150.5814211,,1703220150.9534247
,1703220150.4775174,1703220150.6254172,,1703220151.0014982
,1703220150.5214136,1703220150.6694965,,1703220151.0454438
,1703220150.53773,1703220150.713423,,1703220151.089411
,1703220150.5854158,1703220150.7134316,,1703220151.0894196
,1703220150.629429,1703220150.7614477,,1703220151.1374311
,1703220150.6734533,1703220150.7692723,,1703220151.1697228
,1703220150.6734655,1703220150.8134143,,1703220151.2134821
,1703220150.7174244,1703220150.8614607,,1703220151.2135005
,1703220150.736282,1703220150.9054477,,1703220151.2708523
,1703220150.7814476,1703220150.9054863,,1703220151.2761729
,1703220150.8254173,1703220150.949438,,1703220151.3406863
,1703220150.8694756,1703220150.9742606,,1703220151.3814244
,1703220150.8694944,1703220151.0174608,,1703220151.3814325
,1703220150.9134283,1703220151.0614371,,1703220151.4441838
,1703220150.9389236,1703220151.1054516,,1703220151.4760344
,1703220150.9814637,1703220151.149456,,1703220151.517438
,1703220151.0254064,1703220151.149468,,1703220151.5715055
,1703220151.0694375,1703220151.193428,,1703220151.6134284
,1703220151.1134548,1703220151.2042608,,1703220151.6134408
,1703220151.1134636,1703220151.2494524,,1703220151.6708488
,1703220151.1574202,1703220151.2934172,,1703220151.678159
,1703220151.172,1703220151.337457,,1703220151.725442
,1703220151.2134492,1703220151.381416,,1703220151.7694643
,1703220151.2574077,1703220151.4254487,,1703220151.8139133
,1703220151.301432,1703220151.4694622,,1703220151.8139248
,1703220151.349413,1703220151.5134559,,1703220151.8574142
,1703220151.3934612,1703220151.5134737,,1703220151.8746421
,1703220151.4374492,1703220151.5574133,,1703220151.917427
,1703220151.437458,1703220151.574664,,1703220151.970958
,1703220151.4814198,1703220151.6174188,,1703220152.0134053
,1703220151.5073946,1703220151.6614206,,1703220152.0134134
,1703220151.549445,1703220151.7054477,,1703220152.0574384
,1703220151.5934296,1703220151.7494164,,1703220152.0755508
,1703220151.6374474,1703220151.74943,,1703220152.1214254
,1703220151.6814158,1703220151.7974234,,1703220152.1654427
,1703220151.6814232,1703220151.8061965,,1703220152.2094717
,1703220151.7254493,1703220151.849452,,1703220152.2534335
,1703220151.7424176,1703220151.893423,,1703220152.2534463
,1703220151.789441,1703220151.937463,,1703220152.297444
,1703220151.8334925,1703220151.981468,,1703220152.3394077
,1703220151.8774455,1703220151.9814842,,1703220152.3814175
,1703220151.877457,1703220152.0254128,,1703220152.3814254
,1703220151.9214258,1703220152.072014,,1703220152.4395094
,1703220151.9419522,1703220152.1140265,,1703220152.4708166
,1703220151.9854476,1703220152.1574337,,1703220152.513424
,1703220152.0334494,1703220152.2054515,,1703220152.5134304
,1703220152.0774257,1703220152.2054641,,1703220152.5614328
,1703220152.1214173,1703220152.2495363,,1703220152.576352
,1703220152.1694298,1703220152.2736635,,1703220152.6375003
,1703220152.21344,1703220152.3174493,,1703220152.6814916
,1703220152.2134547,1703220152.3721535,,1703220152.7254205
,1703220152.257412,1703220152.413454,,1703220152.7694438
,1703220152.2736778,1703220152.457427,,1703220152.8134453
,1703220152.317441,1703220152.5014448,,1703220152.813458
,1703220152.3719764,1703220152.5455484,,1703220152.8735218
,1703220152.4134445,1703220152.5455666,,1703220152.8782444
,1703220152.4574256,1703220152.5894184,,1703220152.9373312
,1703220152.5014422,1703220152.6075954,,1703220152.9814203
,1703220152.545516,1703220152.649467,,1703220152.98143
,1703220152.545544,1703220152.6934311,,1703220153.037583
,1703220152.589414,1703220152.7374542,,1703220153.0418258
,1703220152.6075852,1703220152.7814553,,1703220153.1061957
,1703220152.649477,1703220152.7814684,,1703220153.1534204
,1703220152.6934242,1703220152.8294232,,1703220153.1534278
,1703220152.737458,1703220152.84168,,1703220153.1974387
,1703220152.7814527,1703220152.8854303,,1703220153.2101717
,1703220152.7814698,1703220152.9334123,,1703220153.2534592
,1703220152.8294308,1703220152.977438,,1703220153.3388636
,1703220152.8416722,1703220152.977451,,1703220153.3814468
,1703220152.8854237,1703220153.0254104,,1703220153.381458
,1703220152.929414,1703220153.0371788,,1703220153.4254062
,1703220152.9734323,1703220153.0774336,,1703220153.447071
,1703220152.9734435,1703220153.1214263,,1703220153.5104785
,1703220153.0214217,1703220153.1654415,,1703220153.5534117
,1703220153.037189,1703220153.2094696,,1703220153.601455
,1703220153.077432,1703220153.209477,,1703220153.649454
,1703220153.1214366,1703220153.2534459,,1703220153.6494648
,1703220153.1654413,1703220153.2650943,,1703220153.693429
,1703220153.209456,1703220153.3059006,,1703220153.7087312
,1703220153.2094662,1703220153.3494408,,1703220153.7494557
